,authorID,projectContributions,methodsWritten,noOfClones,relativeClones,methodsWrittenCat,projectContributionsCat,developerExperienceNum,developerExperience
7,001783cd-e148-690c-df95-af9074e62a30,2,29,7,0.2413793103448276,2,1,1.5,Low
14,001d52d2-96ea-3225-9009-18420302ba20,2,18,9,0.5,2,1,1.5,Low
21,0025b42f-997b-f4dc-4b44-768a3e08279b,2,24,12,0.5,2,1,1.5,Low
25,002e3995-e4a0-6de4-83a0-8ee00da482f9,2,126,109,0.8650793650793651,4,1,2.5,Medium
31,003342c0-37a0-e9c0-75c0-30c431abe795,2,42,0,0.0,3,1,2.0,Medium
33,0037338f-595f-d9dc-4e7e-8c1f2feba818,2,24,0,0.0,2,1,1.5,Low
47,004e7ee6-50af-3399-0e14-db1a9e878b7a,3,133,50,0.3759398496240601,4,1,2.5,Medium
48,004ece1f-1355-faa6-eeba-b142dc763386,2,76,0,0.0,4,1,2.5,Medium
58,00582733-d183-6ae1-f9a7-db349960bcf8,3,73,4,0.0547945205479452,4,1,2.5,Medium
59,0059deae-0493-dd4c-a499-9d2928d34226,2,13,0,0.0,2,1,1.5,Low
60,005a4b23-630d-1fe7-f93d-2886c75467fa,2,39,17,0.4358974358974359,3,1,2.0,Medium
61,005cf3b9-b6dc-0619-ef2b-098e5ad050b1,2,62,59,0.9516129032258064,4,1,2.5,Medium
70,006814c8-5743-25b1-c831-62c0cb1ddbb4,10,155,97,0.6258064516129033,4,4,4.0,High
71,0069449e-a12d-99dc-db0d-7147c81052cd,2,7,0,0.0,2,1,1.5,Low
73,006ba43c-08f7-f67a-8c82-bc69c9ac76f9,3,6,4,0.6666666666666666,2,1,1.5,Low
77,00748506-ad36-29c0-c425-2119589efa19,2,14,2,0.1428571428571428,2,1,1.5,Low
80,0079552b-f2c4-6987-67c6-58cf35a34d18,2,195,34,0.1743589743589743,4,1,2.5,Medium
98,00a2eba1-53cf-95de-68b0-5725b427ec1d,3,69,46,0.6666666666666666,4,1,2.5,Medium
100,00a5547c-94d0-3bd1-678d-a3b1e600bca2,3,63,0,0.0,4,1,2.5,Medium
105,00ad61a0-3886-841d-b411-e22010850c0f,2,17,0,0.0,2,1,1.5,Low
108,00b073f4-a729-e658-df2e-318769631327,2,38,7,0.1842105263157894,3,1,2.0,Medium
116,00bdc7e9-9871-a71f-40e5-1055b98a0ae9,2,9,4,0.4444444444444444,2,1,1.5,Low
119,00c21796-f36f-d41a-9b8c-e825896ce140,2,39,11,0.282051282051282,3,1,2.0,Medium
120,00c3ae52-f217-fa5b-923e-6fe0cce2d147,7,55,12,0.2181818181818181,4,3,3.5,High
126,00d063b2-87a5-f3e7-9b81-9c8f194e34a3,2,6,3,0.5,2,1,1.5,Low
127,00d0797d-b533-11af-25a1-7e501a9aa860,10,17,12,0.7058823529411765,2,4,3.0,High
129,00d43eb4-5c36-6c62-c713-7a7fe4d2af30,3,10,5,0.5,2,1,1.5,Low
134,00dfc2cf-95a2-75d3-65f7-72399973a629,2,98,46,0.4693877551020408,4,1,2.5,Medium
136,00e15893-2eb9-3016-3199-beafe1935f07,2,63,0,0.0,4,1,2.5,Medium
141,00eb3f70-fd23-bce3-c08c-ffb3622fb7e6,7,45,3,0.0666666666666666,3,3,3.0,High
145,00fa4806-85b6-bc06-f4df-d43f8d755ec6,2,68,0,0.0,4,1,2.5,Medium
149,00fd3f4e-b8e0-94b4-b8f0-d8a74b7d11d4,2,12,1,0.0833333333333333,2,1,1.5,Low
151,00ff04ee-7b9f-f0b9-df41-29f9e77965fb,4,53,0,0.0,4,2,3.0,High
153,0106bfda-7885-d49f-72ff-03c8cb3d5f8e,4,120,73,0.6083333333333333,4,2,3.0,High
154,010703e5-2a33-d17a-1c61-557c542d93ae,2,6,3,0.5,2,1,1.5,Low
157,010ee843-3f7b-483a-3017-53f91f676a0a,10,175,76,0.4342857142857143,4,4,4.0,High
164,011eecb7-f1ff-b081-cf67-0df60ac5b2cd,3,10,5,0.5,2,1,1.5,Low
175,012a652e-a719-0b3b-e74e-3388229a46fe,2,88,44,0.5,4,1,2.5,Medium
183,0137bebb-0aad-ffa9-4d0e-ebdb75520575,4,177,2,0.0112994350282485,4,2,3.0,High
193,0146fca0-6e7e-49fe-415a-f61d5d6aa34c,2,14,0,0.0,2,1,1.5,Low
196,014abaa9-0b4c-414d-68f6-c1887e31377b,2,12,3,0.25,2,1,1.5,Low
197,014ade63-7129-beae-556f-91b63f7a6c87,4,32,16,0.5,3,2,2.5,Medium
200,01529a2d-e2f9-de02-0c12-3cb82a575aed,2,9,0,0.0,2,1,1.5,Low
206,0159d2d4-8aef-9931-51df-4eb3ee169d27,2,7,2,0.2857142857142857,2,1,1.5,Low
208,01617439-9626-e666-b788-bb70072f4529,2,197,192,0.9746192893401016,4,1,2.5,Medium
210,016470e6-a7be-3a0f-d4f7-4fe621023b6b,3,33,7,0.2121212121212121,3,1,2.0,Medium
214,0168a9e4-699c-eb76-ff3d-c0d38318a09d,4,42,11,0.2619047619047619,3,2,2.5,Medium
216,016c2e10-c49c-23ad-ea34-a1ac974325d9,2,11,1,0.0909090909090909,2,1,1.5,Low
