,projectName,searchResults
0,Django-EditArea,"1,170,000"
0,Django-Creators,"145,000,000"
0,Django-ABTest,"39,800"
0,Diverse,"20,600,000"
0,Divan,"3,220,000"
0,DitributedTaskServer,"5,430,000"
0,DistributedDDL,"1,830,000"
0,Distance-Markers,"12,700,000"
0,Dist-Zilla-Plugin-JSAN,"12,900"
0,DiskAnalyze,"5,400,000"
0,Disk-Controller,"245,000"
0,Disco-Build-System,"80,400,000"
0,DiscSpan,"7,310"
0,DisCODe,"547,000"
0,Directorio,"19,100,000"
0,DirectMail,"4,210,000"
0,Direct-Ethernet-Transport,"117,000,000"
0,DirT,"23,600,000"
0,Diplomarbeit,"573,000"
0,Dinette,"2,190,000"
0,Dimension-Spaces-Visualization,"24,300,000"
0,Dim-My-Chrome,"99,900,000"
0,DillPickle,"1,530,000"
0,Dijkstra,"2,760,000"
0,DigitalBattleGrid,"4,660,000"
0,DigitDiction,"20,800"
0,Digg-Wordpress-plugin,"450,000"
0,DigestBottyNGadget,5
0,Diff-LibXDiff,"2,040"
0,DiddyDonation,"254,000"
0,Dictionary,"36,400,000"
0,Dice-Simulator,"600,000"
0,Diamonds,"18,500,000"
0,DezineConnect,"19,000"
0,Devious-NOVA,"66,500"
0,DeviceVMem,24
0,Device-Manager,"9,690,000"
0,Deviant-Love,"8,430,000"
0,Devel--LeakTrace--Fast,"51,800,000"
0,DevEvening1209,"54,200"
0,DevDefined.OAuth-Examples,"8,830,000"
0,DevDefined.OAuth,"10,100"
0,DevContest,"397,000"
0,Detector,"21,900,000"
0,Desync-Proxy,"218,000"
0,DestructionXNA,"6,240,000"
0,Despair-Driven,"2,070,000"
0,DesktopOrganizer,"23,700,000"
0,Desking,"662,000"
0,DesireLED,"137,000"
0,DesignPad,"10,500"
0,Design-patterns-studies,"859,000"
0,Design-patterns-notes,"704,000"
0,Description-Generator,"1,570,000"
0,Depot-Rails-2.3.5,"116,000,000"
0,Depot-App,"105,000,000"
0,Depot,"35,100,000"
0,Deposito,"14,300,000"
0,DeployWebSolara,"641,000"
0,DeployAppSolara,"7,310"
0,DeployAppNoble,"1,960,000"
0,DeployAppFileManagerSolara,"6,200"
0,DependencyInjection-Demo,"426,000"
0,Densha,"25,500,000"
0,DendroPy,"6,600"
0,DemoGame,"11,500"
0,DemoApp,"22,500,000"
0,Demo-Logging-Wrapper,"59,100,000"
0,Demenagement,"4,740,000"
0,Deluge-Growl,"48,900"
0,Deliverable,"2,950,000"
0,DeliciousAPI,"1,920,000"
0,Deiki-Page,"1,250,000"
0,Degas,"2,110,000"
0,Definitious-Mobile,"27,500,000"
0,Defiant,"4,690,000"
0,Defaultize-jQuery-plugin,"9,390,000"
0,DefaultPasswords,"248,000,000"
0,DefaultEncodingDetector,"4,750,000"
0,Default,"76,100,000"
0,DefRegEval,36
0,DeepLearningTutorials,"321,000"
0,DeepLearningBenchmarks,"2,700,000"
0,Deduplication,"1,790,000"
0,Decorosas,"9,710"
0,DecentralizedAddresses,"6,230,000"
0,Death-Valley-Dogs,"12,400,000"
0,DeLorean,"3,150,000"
0,Dbus-Chat,"57,100"
0,DbCopy,"6,400"
0,Daybreak,"6,690,000"
0,Datenstrukturen-Praxiseinheit-2,"99,000"
0,Datenstrukturen,"107,000"
0,Datejs,"16,200"
0,DateTime-Astro,"9,860,000"
0,DateTime,"11,700,000"
0,DateGmt,"3,700,000"
0,DateBox,"57,800"
0,DatabaseQueue,"539,000"
0,DatabaseAlgorithms,"37,600,000"
0,DataStatus,"200,000,000"
0,DataPro,"90,300"
0,DataObj,"8,380,000"
0,DataGetter_JavaME_MobilePhone,"181,000"
0,DataAccessFramework,"626,000"
0,Data.RiakClient,"294,000"
0,Data-structures,"8,770,000"
0,Data-UUID,"8,080,000"
0,Dasani-All,"499,000"
0,Dasani,"1,120,000"
0,Das,"190,000,000"
0,DarwinStreamingServer-Linux,"20,300"
0,DarkRoomW,"1,970,000"
0,Daredevil,"3,660,000"
0,Darcy-s-DHL-app,"37,800,000"
0,Dali,"11,900,000"
0,DWTCodec,"17,200"
0,DWSfromCSV,"465,000"
0,DWPM-Mixing-Rule---Binary-Systems,"14,000,000"
0,DVS,"9,420,000"
