,projectName,searchResults
0,Dokuwiki-OS-X-Template,"3,820,000"
1,DokuWiki-Plugin-SVGEdit,"14,400"
2,DojoRio,"321,000"
3,DojoFormGenerator,"732,000"
4,Dodo,"37,800,000"
5,Dodgson,"262,000"
6,Docx2UnitTest,37
7,DocumentHandling,"165,000,000"
8,Docsbox,"50,700,000"
9,DockUI,"8,060,000"
10,DocTestPlusPlus,"1,350,000"
11,DocPad,"19,700"
12,DjangoSoap,"1,000,000"
13,Django-facebook,"8,850,000"
14,Django-Socialauth,"451,000"
15,Django-Rosetta,"28,300"
16,Django-EditArea,"1,140,000"
17,Django-Creators,"145,000,000"
18,Django-ABTest,"38,900"
19,Diverse,"20,600,000"
20,Divan,"3,230,000"
21,DitributedTaskServer,"5,450,000"
22,DistributedDDL,"1,840,000"
23,Distance-Markers,"12,700,000"
24,Dist-Zilla-Plugin-JSAN,"13,100"
25,DiskAnalyze,"5,430,000"
26,Disk-Controller,"248,000"
27,Disco-Build-System,"80,400,000"
28,DiscSpan,"7,200"
29,DisCODe,"547,000"
30,Directorio,"19,100,000"
31,DirectMail,"6,620,000"
32,Direct-Ethernet-Transport,"117,000,000"
33,DirT,"23,800,000"
34,Diplomarbeit,"577,000"
35,Dinette,"2,200,000"
36,Dimension-Spaces-Visualization,"24,400,000"
37,Dim-My-Chrome,"99,900,000"
38,DillPickle,"1,530,000"
39,Dijkstra,"2,760,000"
40,DigitalBattleGrid,"4,710,000"
41,DigitDiction,"20,700"
42,Digg-Wordpress-plugin,"457,000"
43,DigestBottyNGadget,5
44,Diff-LibXDiff,"2,050"
45,DiddyDonation,"250,000"
46,Dictionary,"36,400,000"
47,Dice-Simulator,"613,000"
48,Diamonds,"18,500,000"
49,DezineConnect,"19,000"
50,Devious-NOVA,"66,600"
51,DeviceVMem,24
52,Device-Manager,"9,750,000"
53,Deviant-Love,"8,440,000"
54,Devel--LeakTrace--Fast,"52,000,000"
55,DevEvening1209,"41,800"
56,DevDefined.OAuth-Examples,"8,850,000"
57,DevDefined.OAuth,"10,100"
58,DevContest,"402,000"
59,Detector,"21,900,000"
60,Desync-Proxy,"216,000"
61,DestructionXNA,"6,250,000"
62,Despair-Driven,"2,070,000"
63,DesktopOrganizer,"23,700,000"
64,Desking,"657,000"
65,DesireLED,"140,000"
66,DesignPad,"11,200"
67,Design-patterns-studies,"832,000"
68,Design-patterns-notes,"711,000"
69,Description-Generator,"1,580,000"
70,Depot-Rails-2.3.5,"115,000,000"
71,Depot-App,"105,000,000"
72,Depot,"35,200,000"
73,Deposito,"14,300,000"
74,DeployWebSolara,"649,000"
75,DeployAppSolara,"7,400"
76,DeployAppNoble,"1,990,000"
77,DeployAppFileManagerSolara,"6,190"
78,DependencyInjection-Demo,"425,000"
79,Densha,"25,700,000"
80,DendroPy,"6,500"
81,DemoGame,"11,400"
82,DemoApp,"22,600,000"
83,Demo-Logging-Wrapper,"59,100,000"
84,Demenagement,"4,730,000"
85,Deluge-Growl,"48,800"
86,Deliverable,"2,950,000"
87,DeliciousAPI,"1,930,000"
88,Deiki-Page,"1,250,000"
89,Degas,"2,150,000"
90,Definitious-Mobile,"27,400,000"
91,Defiant,"4,700,000"
92,Defaultize-jQuery-plugin,"9,450,000"
93,DefaultPasswords,"250,000,000"
94,DefaultEncodingDetector,"4,780,000"
95,Default,"76,200,000"
96,DefRegEval,36
97,DeepLearningTutorials,"331,000"
98,DeepLearningBenchmarks,"2,710,000"
99,Deduplication,"1,790,000"
100,Decorosas,"10,000"
101,DecentralizedAddresses,"6,230,000"
102,Death-Valley-Dogs,"12,400,000"
103,DeLorean,"3,140,000"
104,Dbus-Chat,"56,900"
105,DbCopy,"6,350"
106,Daybreak,"6,690,000"
