,projectName,searchResults
0,genealogeo,"1,610,000"
1,gene-tree-divers-sim,"3,020,000"
2,genFinal,"25,100,000"
3,gemuo,"19,200"
4,gemrb,"8,720"
5,gemini,"17,900,000"
6,geminabox,"4,110"
7,gemcutter,"88,600"
8,gem2arch,493
9,geloge-lo,"802,000"
10,geektools,"11,300"
11,geektool,"16,500"
12,geekcode,"17,900,000"
13,geef,"3,980,000"
14,geditpycompletion,347
15,gedit_formatter,"225,000"
16,gedit-synctex-plugin,"139,000"
17,gedit-stripper-plugin,"457,000"
18,gedit-rails,"58,700"
19,gedit-plugins,"194,000"
20,gedit-plugin-installer,"51,100,000"
21,gedit-plugin-autocomplete,"2,620,000"
22,gedit-phplint,95
23,gedit-panel-buttons,"38,600,000"
24,gedit-openfiles,"606,000"
25,gedit-mterminal,"529,000"
26,gedit-gsp-plugin,"276,000"
27,gedit-gotofile-plugin,"131,000"
28,gedit-folding,"45,700"
29,gedit-focus-autosave,"668,000"
30,gedit-file-search,"111,000,000"
31,gedit-commander-modules,"37,200,000"
32,gedit-close-empty-file,"25,200,000"
33,gedit-back-forward,"48,700,000"
34,gedit-advanced-bookmarks-plugin,"1,350,000"
35,gearmytoon,33
36,gearman-java,"19,300,000"
37,geany-modeline,"11,400"
38,gdox,"647,000"
39,gdownload,"3,185,032,704"
40,gdispatch,"21,500,000"
41,gdiff,"9,610"
42,gdft_polynomials,"2,210"
43,gdb-test,"2,740,000"
44,gdata-objectivec-client,"975,000"
45,gdal_dxfdwg_no_oda,"13,900"
46,gda,"4,940,000"
47,gcview,"7,080"
48,gcin,"253,000"
49,gchat-jetpack-notifier,"451,000"
50,gccxmlclone,"6,240"
51,gcausality,"2,570,000"
52,gcalert,"994,000"
53,gcalendarsum,"17,700,000"
54,gcalc,"10,400"
55,gcal-alarm,"1,980,000"
56,gc-mystique-personalizzazioni,"369,000"
57,gc,"33,700,000"
58,gbraintester,"3,280,000"
59,gbd,"3,640,000"
60,gbcs378pj4,19
61,gazehound,"9,880"
62,gaza-flotilla-map,"47,800"
63,gawkk,"6,610"
64,gavin.brokentrain.net,"72,100"
65,gaussian-em,"449,000"
66,gaui-kodasafn-56-solution,"11,700"
67,gaudi_effects,"250,000"
68,gauche-magic,"489,000"
69,gasmeter,"51,800"
70,garvindocs,"650,000"
71,garra-project-,"172,000"
72,garney-experiments,"30,100"
73,garmin,"24,000,000"
74,gark87-GM-scripts,"2,820,000"
75,garden,"63,700,000"
76,garage,"35,500,000"
77,gappsites,"391,000"
78,gapp-helloworld,"1,740,000"
79,gapoffline,"52,700,000"
80,gaphas,"26,100,000"
81,gapQBE,"55,800"
82,gap,"30,000,000"
83,gaosp_packages_apps_Phone,"80,900,000"
84,gaosp_android_packages_apps_Settings,"466,000"
85,ganglia-misc,"224,000"
86,ganglia-gmetric-xs,"24,500"
87,ganesh-jcarousel-lite,"346,000"
88,gamma,"17,700,000"
89,gameservers,"106,000"
90,gamersmafia,"444,000"
91,gamepiler,"80,300"
92,gamepad,"6,920,000"
93,gameover,"473,000"
94,gameoflife,"11,400,000"
95,gamedevProjectThree,"5,370,000"
96,gameday,"7,980,000"
97,gamecard,"350,000"
98,gameboyEmulator,"6,000,000"
99,gameboy4iphone,"1,530"
100,gameai,"19,600,000"
101,game_of_nom,"726,000"
102,game_of_life,"29,000,000"
103,gameQuery,"4,720"
104,game.js,"304,000,000"
105,game-of-life,"29,200,000"
106,game-of-go,"291,000,000"
107,game-ladder,"24,800,000"
108,game,"701,000,000"
109,gambit_files,"1,170,000"
110,galopy,"408,000"
111,gallery3-contrib,"58,600"
112,gallery3,"116,000,000"
113,gallery-remote,"312,000"
114,gallery,"100,000,000"
115,galleria,"17,200,000"
116,galerts,"5,530"
117,galaxyvalidator,"6,680,000"
118,galarm,"4,660"
119,galacsi-rails3,"2,410,000"
120,gainpad,"12,200,000"
121,gaia,"15,400,000"
122,gai_test,"2,110,000"
123,gaggle,"1,030,000"
124,gage_personnel,"1,840,000"
125,gaexpr2,26
126,gaeutilities,"31,000,000"
127,gaetestbed,455
128,gaestbook,"14,900,000"
129,gaeskel,"677,000"
130,gaepride,"136,000"
131,gaeotest,"27,400"
132,gaedb,"660,000"
133,gaebase,"114,000"
134,gae_play,"263,000,000"
135,gae_memoize,"186,000,000"
136,gae_bulkloader_connectors,"58,500"
137,gae-wiki,"179,000,000"
138,gae-twitter-oauth-example,"253,000"
139,gae-score-keeper,"35,100,000"
140,gae-safesearch,"907,000"
141,gae-run,"196,000,000"
142,gae-rest,"8,930,000"
143,gae-qmacro,"26,300,000"
144,gae-prototype,"9,990,000"
145,gae-newsreader,"268,000,000"
146,gae-mybookrss,"243,000,000"
147,gae-minwiki,"20,600,000"
148,gae-mapreduce,"188,000"
149,gae-logging,"34,800,000"
150,gae-image,"129,000,000"
151,gae-flickrapp,"167,000"
152,gae-django-versioned-api-helper,"271,000"
153,gae-django,"7,300,000"
154,gae-datastore,"216,000"
155,gae-bspl,"31,800,000"
156,gae-2chrss,"35,600,000"
157,gaderypoluki,"1,870"
158,gabrielgilini-cv,57
159,gabbleduck,"2,890"
160,ga,"328,000,000"
161,gVoiceGrowler,21
162,gTest,"1,580,000"
163,gSendMail,"138,000,000"
164,gEdit-Toggle-Menu,"40,400,000"
165,gEdit-Config,"754,000"
166,gCal-sync,"6,520,000"
167,gBot,"356,000"
168,g414-sort,"3,300"
169,g414-http,"14,000"
170,g414-dgen,17
171,g3wt,"3,550"
172,g2t,"200,000"
173,g2ools,"2,010,065,408"
174,g15twitter,"670,000"
175,g.raphael,"7,310,000"
176,fyp-server,"47,400,000"
177,fyp-client,"55,600,000"
178,fya,"2,090,000"
179,fxrules,"229,000"
